domain,merchant_name,source,estimated_yearly_revenue,revenue_source,employee_count,description,categories,city,state,country_code,company_location,platform,plan,estimated_monthly_pageviews,estimated_monthly_visits,instagram,facebook,tiktok,twitter,linkedin_url,youtube,pinterest,tiktok_followers,twitter_followers,pinterest_followers,youtube_followers,emails,phones,apollo_industry,apollo_keywords,apollo_estimated_employees,apollo_founded_year,apollo_short_description
www.everydaydose.com,Everyday Dose,list1,"USD $30,613,180.32",store_leads,76,"Everyday Dose mushroom coffee combines functional mushrooms, collagen protein, and nootropics to promote focus, energy, immunity, and gut health. Try it now!",/Food & Drink/Beverages/Coffee & Tea,Austin,Texas,US,"Austin, TX, USA",Shopify,Shopify Plus,2617357,705803,everydaydose,,@drinkeverydaydose,,https://www.linkedin.com/company/everydaydose,everydaydoseofficial,everydaydose,4071,,843,6280,,,,,,,
aeropress.com,AeroPress,list1,"USD $26,555,634.72",store_leads,30,"Looking for a coffee maker that embodies quality, innovation, and convenience? Look no further than AeroPress - the brand that coffee enthusiasts trust for their daily caffeine fix. With our commitment to excellence and passion for great coffee, we've created a better coffee press that delivers delicious, rich flavor.",/Food & Drink/Beverages/Coffee & Tea,Palo Alto,California,US,"Palo Alto, CA, USA",Shopify,Shopify Plus,2270446,612254,aeropress,aeropress,@aeropress,aeropress,https://www.linkedin.com/company/aeropressinc,aeropresscoffeemaker,,11900,6427,,14900,onlineordersupport@aeropress.com:info@aeropress.com,+1 833-245-2418,,,,,
www.manduka.com,Manduka,list1,"USD $31,289,886.36",store_leads,102,"Manduka yoga mats, apparel and accessories are designed by yogis and trusted by teachers worldwide. Crafted for high performance for any pose and every practice. Shop us here.",/Beauty & Fitness/Fitness,El Segundo,California,US,"El Segundo, CA 90245, USA",Shopify,Shopify Plus,2675213,721405,mandukayoga,mandukayoga,@mandukayoga,,https://www.linkedin.com/company/manduka,mandukayoga,mandukayoga,2711,,7800,16300,info@manduka.com:wholesale@manduka.com,+1 877-626-3852:+1 833-967-2863,,,,,
www.nestnewyork.com,NEST NEW YORK,list1,"USD $35,776,151.04",store_leads,142,"Welcome to NEST NEW YORK, where mood is elevated and scent is celebrated. Our fragranced candles, diffusers, soaps, lotions, perfume, body care and gift collections transform the everyday with scents that transport, inspire and captivate the senses. Let NEST NEW YORK scent your world.",/Home & Garden,New York,New York,US,"New York, NY, USA",Shopify,Shopify Plus,3058779,824838,nestnewyork,nestfragrances,@nestnewyork,,http://www.linkedin.com/company/nestnewyork,,,10700,,,,corporateorders@nestnewyork.com:CustomerService@nestnewyork.com:info@nestnewyork.com:partnership@nestnewyork.com,+1 212-759-9273:+1 888-979-6932:+1 212-759-0047,,,,,
www.bbcicecream.com,Billionaire Boys Club,list1,"USD $32,433,218.64",store_leads,51,"Official store of the Billionaire Boys Club and ICECREAM clothing lines by Pharrell Williams. Luxury streetwear tees, sweatshirts, denim, accessories & more.",/Apparel/Casual Apparel,New York,New York,US,"New York, NY, USA",Shopify,Shopify Plus,2772966,747765,bbcicecream,billionaireboysclubicecream,@bbcicecream,bbcicecream,https://www.linkedin.com/company/bbcicecream,ucg6ebfkjqsquftc4tgy4hrw,,,63500,,37300,service@bbcicecream.com,,,,,,
www.deathwishcoffee.com,Death Wish Coffee,list1,"USD $25,356,332.40",store_leads,96,"Bold, Smooth and Delicious since 2012. We source USDA Organic and Fair Trade Certified™ arabica and robusta coffee beans from India, Peru, and other countries throughout South and Central America for our everyday coffee roasts. Sustainably sourced coffee with high quality standards to ensure consistency in every cup.",/Food & Drink/Beverages/Coffee & Tea,Round Lake,New York,US,"Round Lake, NY, USA",Shopify,Shopify Plus,2031679,547868,deathwishcoffee,deathwishcoffee,,deathwishcoffee,https://www.linkedin.com/company/death-wish-coffee-company,uc1uurjmded2rrjioe8yka7g,,,106300,,17600,hey@deathwishcoffee.com:hq@deathwishcoffee.com:donations@deathwishcoffee.com:deathwishcoffeecompany@gmail.com:wholesale@deathwishcoffee.com,+1 518-400-1050,,,,,
www.skinnymixes.com,Skinny Mixes,list1,"USD $25,692,816.24",store_leads,51,"Skinny Mixes & Skinny Syrups - Enjoy every sip of your favorite beverages with all the flavor and fun you love, but none of the unwanted calories and sugar.",/Food & Drink/Beverages,Clearwater,Florida,US,"Clearwater, FL, USA",Shopify,Shopify Plus,2196677,592362,skinnymixes,skinnymixes,@skinnymixes,,https://www.linkedin.com/company/skinny-mixes-llc,skinnymixes,skinnymixes,142300,,13000,1030,customerservice@skinnymixes.com,,,,,,
www.hatchcollection.com,HATCH Collection,list1,"USD $32,532,511.20",store_leads,75,"Find Fashionable Maternity Clothing for every stage of your pregnancy at HATCH. From dresses and bras to nursing wear and sweaters, we have you covered!",/Apparel,San Francisco,California,US,"San Francisco, CA, USA",Shopify,Shopify Plus,2781455,750054,hatchgal,hatchcollection,@hatchgal,,https://www.linkedin.com/company/hatch-collection,hatchcollection7528,hatchcollection,6138,,24200,339,help@hatchcollection.com:info@hatchcollection.com:partnerships@hatchcollection.com:press@hatchcollection.com:returns@hatchcollection.com:stores@hatchcollection.com:wholesale@hatchcollection.com,,,,,,
www.mynuface.com,NuFACE,list1,"USD $21,375,544.68",store_leads,154,"Official NuFACE online store: browse and buy NuFACE microcurrent facial toning devices, skincare sets, and skincare serums and gels for all types of skin.",/Beauty & Fitness/Face & Body Care/Skin & Nail Care,Vista,California,US,"Vista, CA, USA",Shopify,Shopify Plus,1827560,492824,mynuface,mynuface,@mynuface,,https://www.linkedin.com/company/nuface,mynuface,nuface,70600,,2900,28200,info@nuface.com:info@mynuface.com:media@mynuface.com:media@nuface.com:partnerships@nuface.com,+1 888-360-9171:+1 760-509-1186,,,,,
primallypure.com,Primally Pure,list1,"USD $27,116,417.76",store_leads,52,"100% natural and toxin-free, Primally Pure skincare products support radiant skin, a healthy body + a happy self.",/Beauty & Fitness/Face & Body Care/Skin & Nail Care,Murrieta,California,US,"Murrieta, CA, USA",Shopify,Shopify Plus,2318391,625183,primallypure,primallypure,@primallypure,,https://www.linkedin.com/company/primally-pure-skincare,primallypure,primallypure,34300,,5200,6170,hello@primallypure.com:team@primallypure.com,,,,,,
www.seekinghealth.com,Seeking Health,list1,"USD $25,844,934.48",store_leads,37,"Find the best vitamins & supplements, best probiotics, formulated by Dr. Ben Lynch just for you. Shop with Seeking Health® today!",/Health/Nutrition/Vitamins & Supplements,Bellingham,Washington,US,"Bellingham, WA, USA",Shopify,Shopify Plus,2209682,595868,seeking.health,,,seekinghealth,https://www.linkedin.com/company/seeking-health-llc,,seekinghealth1,,2969,572,,customer@seekinghealth.com:affiliate@seekinghealth.com:wholesale@seekinghealth.com,+1 800-547-9812:+1 360-306-8749,,,,,
retrospec.com,Retrospec,list1,"USD $36,155,957.40",store_leads,40,"Where outside comes naturally. Shop ready-to-outdoor essentials for every season. Free Shipping on orders $35+ & easy, simple returns.",/Sports/Individual Sports/Cycling,Perris,California,US,"Perris, CA, USA",Shopify,Shopify Plus,3091251,833595,retrospec,retrospecbicycles,@retrospec,retrospecla,https://www.linkedin.com/company/retrospec-bicycles,retrospec6535,,67400,820,,401,wholesale@retrospecusa.com:team@retrospec.com,+1 213-559-8053:+1 888-488-2369,,,,,
grasslandbeef.com,US Wellness Meats,list1,"USD $29,740,090.20",store_leads,22,"Setting the standard for grass-fed meats since 2000. Buy grass-fed beef, steaks, gourmet food gifts, seafood, bone broth, and other healthy foods online.",/Food & Drink/Food/Meat & Seafood:/Food & Drink/Food,,Missouri,US,"Missouri, USA",Shopify,,2542709,685673,uswellnessmeats,uswellnessmeats,,uswellnessmeats,,uswellnessmeats,uswellnessmeats,,15900,14200,5740,,+1 877-383-0051,,,,,
altenew.com,Altenew,list1,"USD $19,983,980.88",store_leads,34,Altenew introduces elegant designs in paper crafting products and we are proud to create products that help inspire alluring projects/creations.,/Toys & Hobbies/Arts & Crafts,Syracuse,New York,US,"Syracuse, NY, USA",Shopify,Shopify Plus,1708584,460741,altenewllc,altenew,@altenew,,https://www.linkedin.com/company/altenew-llc,altenew,altenew,1875,,25300,63000,support@altenew.com:hello@eucompliancepartner.com,+1 800-593-1089:+1 315-967-2003,,,,,
www.dylanscandybar.com,Dylan's Candy Bar,list1,"USD $28,248,744.72",store_leads,199,Dylan's Candy Bar is home to the largest selection of candies and candy-related gifts from around the world. Visit us in-store or buy candy online today!,/Food & Drink/Food/Candy & Sweets,New York,New York,US,"New York, NY, USA",Shopify,Shopify Plus,2415203,651290,dylanscandybar,dylanscandybar,,,https://www.linkedin.com/company/dylan%27s-candy-bar,,dylanscandybar,,,14100,,customerservice@dylanscandybar.com,+1 866-939-5267:+1 646-419-2006:+1 646-553-4823,,,,,
naturehills.com,Nature Hills Nursery,list1,"USD $41,398,411.08",store_leads,21,"America’s trusted online nursery for trees, shrubs, fruit plants & perennials. 2,000+ varieties, zone‑matched advice, live‑plant guarantee—shop Nature Hills.",/Home & Garden/Gardening & Landscaping,Avon,Ohio,US,"Avon, OH 44011, USA",Shopify,Shopify Plus,3539469,954463,naturehillsnursery,naturehills,@naturehillsnursery,naturehills,https://www.linkedin.com/company/nature-hills,ucu-1-742jen-p8dqjxgipvq,naturehills,331,33400,30100,19800,support@naturehills.com:accessibility@naturehills.com,+1 402-934-8116,,,,,
www.kennyflowers.com,Kenny Flowers,list1,"USD $30,119,520.96",store_leads,15,"Leisure at its finest. Men & women’s resort & swimwear, golf, tennis, matching kids & more.",/Apparel,Niwot,Colorado,US,"Niwot, CO 80503, USA",Shopify,Shopify Plus,1940095,523171,kennyflowers_,kennyflowers.co,@kennyflowers_,kennyflowers_,https://www.linkedin.com/company/kenny-flowers,,kennyflowersco,4312,2002,582,,holla@kennyflowers.com:support@kennyflowers.com,,,,,,
soylent.com,Soylent,list1,"USD $19,492,898.28",store_leads,16,Soylent products turn a full meal into a one-step process with everything the body needs to thrive. Complete nutrition science-backed and sustainable.,/Food & Drink/Beverages:/Health/Nutrition/Vitamins & Supplements,Los Angeles,California,US,"Los Angeles, CA, USA",Shopify,Shopify Plus,1666598,449419,soylent,soylent,@soylent_nutrition,soylent,https://www.linkedin.com/company/3496279,,,10300,32600,,,info@soylent.com:good@soylent.com,,,,,,
www.bareperformancenutrition.com,Bare Performance Nutrition,list1,"USD $28,453,688.52",store_leads,57,BPN is a trusted source of performance and health supplements for discerning athletes. Our products are third party tested for banned substances and quality control.,/Health/Nutrition/Vitamins & Supplements:/Apparel,Round Rock,Texas,US,"Round Rock, TX, USA",Shopify,Shopify Plus,2432725,656015,,bareperformancenutrition,,,http://www.linkedin.com/company/bare-performance-nutrition,,,,,,,,,,,,,
www.rsvlts.com,RSVLTS®,list1,"USD $33,177,518.40",store_leads,57,"Get Iconic Movie & TV Show-themed KUNUFLEX™ Button Down Shirts, Tees, Hoodies, Flannels, Hats, and Other Sweet Gear from Official Collabs with Star Wars™, Disney™, Jurassic Park™, Marvel™, and More of Your Favorites! Shop RSVLTS® Today!",/Apparel/Casual Apparel,Hoboken,New Jersey,US,"Hoboken, NJ, USA",Shopify,,2409724,649812,rsvlts,rsvlts,,rsvlts,https://www.linkedin.com/company/rsvlts-media,rsvlts,,,20900,,35100,store@rsvlts.com:info@RSVLTS.com,+1 877-629-2918,,,,,
brightland.co,Brightland,list1,"USD $25,777,679.64",store_leads,30,"Over 2,000 5-Star Reviews. Thoughtful gifting made easy. Discover fresher, healthier California extra virgin olive oil and premium double-fermented vinegars at Brightland. Shop flavored oils, gift sets and more.",/Food & Drink/Food,Los Angeles,California,US,"Los Angeles, CA, USA",Shopify,Shopify Plus,2203932,594318,wearebrightland,,,,https://www.linkedin.com/company/brightland-corporation,,brightlandoliveoil,,,7403,,corporategifts@brightland.co,,,,,,
www.morphe.com,Morphe US,list1,"USD $46,846,786.80",store_leads,388,"Be Unapologetically You and shop Morphe.com for iconic eyeshadow palettes, makeup brushes and lipsticks. A beauty brand created for the creators.",/Beauty & Fitness/Face & Body Care/Make-Up & Cosmetics,Los Angeles,California,US,"Pacoima, Los Angeles, CA, USA",Shopify,Shopify Plus,4005293,1080078,morphebrushes,morphebrushescosmetics,@morpheofficial,morphebrushes,https://www.linkedin.com/company/morphe-brushes,uc2xzcsvv3tculr8znpzc5rg,morphebrushes,1300000,1100000,49400,256000,info@morphe.com:help@morphe.com,+1 877-366-7743,,,,,
www.statebicycle.com,State Bicycle Co.,list1,"USD $34,895,981.88",store_leads,12,"Visit State Bicycle Co. to customize your bike today or shop our wide variety of single speed bikes, fixed gear bikes, city bikes and more. A bike like no other",/Sports/Individual Sports/Cycling:/Sports/Sporting Goods,Phoenix,Arizona,US,"Phoenix, AZ, USA",Shopify,,2420472,652711,statebicycleco,statebicycle,,statebicycleco,https://www.linkedin.com/company/state-bicycle-co.,,,,7315,,,info@statebicycle.com:careers@statebicycle.com,+1 855-557-8283,,,,,
www.getquip.com,quip,list1,"USD $18,595,498.56",store_leads,157,"Turn a “have to” routine into a “want to” ritual with quip — loved by 12+ million mouths, and backed by science. Offering water flosser, electric toothbrush, sonic toothbrush, battery toothbrush, rechargeable toothbrushes, electric toothbrush heads, toothpaste, gum, mints and accessories to help your oral wellness.",/Health/Oral & Dental Care:/Beauty & Fitness/Face & Body Care/Hygiene & Toiletries,,New York,US,"Brooklyn, NY, USA",Shopify,Shopify Plus,1324893,357274,quip,getquip,@quip,,http://www.linkedin.com/company/quip-,getquip,getquip,21400,,4000,4330,help@getquip.com:partners@getquip.com:refillsupport@getquip.com:wholesale@getquip.com,,,,,,
www.levenger.com,Levenger Company,list1,"USD $20,679,029.04",store_leads,118,"Inspiring Readers, Writers & Thinkers since 1987. Discover our selection of professional accessories and organizing solutions, thoughtfully designed and built to last: Leather bags and accessories, fine pens, inks, and home furnishings; quality paper and pads, and the award-winning Circa® discbound notebook system.",/Books & Literature/Notebooks & Planners,Delray Beach,Florida,US,"Delray Beach, FL, USA",Shopify,Shopify Plus,1768009,476766,levenger,levenger,,levenger,https://www.linkedin.com/company/levenger,levengermedia,levenger,,16700,16700,2730,cservice@levenger.com:corpsales@levenger.com:customerservice@levenger.com,+1 800-357-9991:+1 800-544-0880,,,,,
www.littlewordsproject.com,Little Words Project,list1,"USD $44,069,178.96",store_leads,165,"Little Words Project® is a woman-owned jewelry company founded on kindness -- to yourself and others. Connect your bead bracelets on our official website, live out your word every day, and give it to someone who needs it! Join our online community of kindness when you enter the unique code on our trackable bracelets.",/Apparel/Clothing Accessories,Mountainside,New Jersey,US,"Mountainside, NJ 07092, USA",Shopify,Shopify Plus,1369703,369357,littlewordsproject,littlewordsproject,@littlewordsproject,,https://www.linkedin.com/company/little-words-project,,,147900,,,,orders@littlewordsproject.com,+1 908-540-7150,,,,,
www.crossrope.com,Crossrope,list1,"USD $18,755,442.84",store_leads,48,"Our weighted ropes make jumping easy to learn & offer a unique challenge for experienced fitness goers. Great for weight loss, cardio, & strength training.",/Beauty & Fitness/Fitness,Raleigh,North Carolina,US,"Raleigh, NC, USA",Shopify,Shopify Plus,1336289,360347,crossropejumpropes,crossrope,@crossrope,crossrope,https://www.linkedin.com/company/crossrope-llc,ucaz5thf_3v-uiqhvobia2nw,,4708,6297,,71100,,+1 888-547-8311:+1 919-899-1956,,,,,
mondayswimwear.com,Monday Swimwear,list1,"USD $28,543,198.68",store_leads,37,"Natasha Oakley and Devin Brugman's line of women's swimwear, known for its iconic feminine designs, immaculate fit, soft-to-touch feel and enduring quality. Styles designed with real women in mind, our suits fit cup sizes AA-G and sizes 00-16.",/Apparel/Swimwear,Beverly Hills,California,US,"Beverly Hills, CA, USA",Shopify,Shopify Plus,2440378,658079,mondayswimwear,mondayswim,@monday.body,mondayswimwear,http://www.linkedin.com/company/mondayswimwear,,mondayswim,11300,5884,6000,,customerservice@mondayswimwear.com:careers@mondayswimwear.com,,,,,,
www.irresistibleme.com,Irresistible Me,list1,"USD $23,197,294.80",store_leads,15,"Shop affordable, high-quality hair extensions from Irresistible Me. Since 2012, we're offering clip-ins, tape-ins, ponytails, wigs, and more.",/Beauty & Fitness/Hair Care,New York,New York,US,"New York, NY, USA",Shopify,Shopify Plus,1983315,534826,irresistibleme_hair,irresistiblemehair,@irresistibleme_hair,,https://www.linkedin.com/company/irresistible-me,,irresistibleme_hair,29900,,29700,,help@irresistibleme.com,+1 800-624-5287:+1 855-697-3433,,,,,
hairstory.com,Hairstory,list1,"USD $17,481,464.88",store_leads,79,"The cleansing cream, a first-of-its kind, is a custom formula that cleans and conditions without harsh foams and damaging detergents found in traditional shampoos. The luxurious result? Your healthiest and happiest hair ever.",/Beauty & Fitness/Hair Care,New York,New York,US,"New York, NY, USA",Shopify,Shopify Plus,1245521,335870,hairstorystudio,hairstorystudio,@hairstorystudio,,https://www.linkedin.com/company/hairstory,,hairstorystudio,13000,,3700,,careers@hairstory.com:press@hairstory.com:hello@hairstory.com:pro@hairstory.com,+1 855-515-1674,,,,,
wallicases.com,Walli Cases,list1,"USD $20,297,657.40",store_leads,12,"Don’t Sacrifice Style For Function. Walli Has Everything You Need. Shop Now. We Offer Card Holder, Case, Kickstander And Style Together. Browse Our Collection. Limited Stock Alert. With Wallet And Kickstand. Multipurpose Phone Cases. Vegan Leather Cases.",/Consumer Electronics/Mobile & Wireless:/Consumer Electronics,Springville,Utah,US,"Springville, UT, USA",Shopify,Shopify Plus,1446169,389977,wallicases,wallicases,@wallicases,,http://www.linkedin.com/company/walli-cases,uct4gfc1resxewj8l54_cy5w,wallicases,16300,,967,103,support@wallicases.com:wholesale@wallicases.com,,,,,,
mudwtr.com,MUD\WTR,list1,"USD $18,830,866.08",store_leads,48,"MUD\WTR is a certified-organic coffee alternative with over 50,000 5-star reviews, filled with adaptogenic mushrooms and quality ingredients. With just a fraction of the caffeine of coffee, MUD\WTR provides natural energy & focus.",/Food & Drink/Food,Santa Monica,California,US,"Santa Monica, CA, USA",Shopify,Shopify Plus,1341663,361796,drinkmudwtr,,,drinkmudwtr,https://www.linkedin.com/company/mudwtr,mudwtr,,,1523,,24300,drink@mudwtr.com:press@mudwtr.com:wholesale@mudwtr.com,,,,,,
redcon1.com,REDCON1,list1,"USD $20,989,673.04",store_leads,124,"REDCON1 is a mission-based company founded on a simple principle - create the highest quality supplements for people who trained, for people that need to be at their best.",/Beauty & Fitness/Fitness,Boca Raton,Florida,US,"Boca Raton, FL, USA",Shopify,Shopify Plus,1495474,403273,redcon1,redcon1,@redcon1official,redcon1official,https://www.linkedin.com/company/redcon1official,redcon1official,,27900,8608,,96400,cs@redcon1.com,,,,,,
1upnutrition.com,1 Up Nutrition,list1,"USD $48,477,340.56",store_leads,10,"Premium sports nutrition for every fitness goal. Trusted by millions for fat loss, muscle tone, energy, health and results that last.",/Health/Nutrition,Miami,Florida,US,"Miami, FL, USA",Shopify,Shopify Plus,1291062,348151,1upnutrition,1upnutrition,,,https://www.linkedin.com/company/1-up-nutrition-llc,,,,,,,Ask@1upnutrition.com:CustomerService@1upnutrition.com,+1 800-688-1094,,,,,
www.sergiotacchini.com,Sergio Tacchini,list1,"USD $18,754,562.40",store_leads,69,"Shop Sergio Tacchini Tracksuits, Shorts, Tees and More at the Official Sergio Tacchini USA Online Store. Elevated athleisure for everyone.",/Apparel,New York,New York,US,"New York, NY, USA",Shopify,,1603472,432396,sergiotacchini,sergiotacchiniusa,@sergiotacchiniofficial,sergiotacchini0,https://www.linkedin.com/company/sergio-tacchini-s.p.a.,sergiotacchini1966,,,,,,help@sergiotacchini.com,+1 845-493-3055,,,,,
dripdrop.com,DripDrop,list1,"USD $21,181,899.60",store_leads,67,DripDrop electrolyte powder is your go-to for fast hydration. With 3x electrolytes vs the leading sports drink start combating dehydration today.,/Health,San Francisco,California,US,"San Francisco, CA, USA",Shopify,Shopify Plus,1509170,406966,drinkdripdrop,,@drinkdripdrop,,https://www.linkedin.com/company/drip-drop-inc,,,162700,,,,bulksales@dripdrop.com:hello@dripdrop.com:hello@dripdropors.com,+1 800-761-0321,,,,,
jeffreycampbellshoes.com,Jeffrey Campbell,list1,"USD $44,396,509.56",store_leads,19,"The official site for Jeffrey Campbell Shoes. Shop platforms, sneakers, booties, boots, sandals, heels, loafers, flats and more. Check out New Arrivals Daily & trend setting styles here. Plus, get FREE Domestic Ground Shipping on orders $75+!",/Apparel/Footwear,Los Angeles,California,US,"Los Angeles, CA, USA",Shopify,Shopify Plus,3795800,1023585,jeffreycampbell,jeffreycampbellshoes,@jeffreycampbellshoes,,https://www.linkedin.com/company/jeffrey-campbell,,jeffreycampbell,38000,,20500,,cs@jeffreycampbellshoes.com:shop@jeffreycampbell.myshopify.com:press@jeffreycampbellshoes.com:siteadmin@jeffreycampbellshoes.com:Campbellcs@jeffreycampbellshoes.com,,,,,,
